customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5998-VVEJY,1,0,0,0,26,1,1,2,0,0,0,1,0,0,0,1,0,80.5,2088.8,1
9788-HNGUT,1,0,1,0,72,1,1,2,1,1,1,1,1,1,2,1,3,116.95,8594.4,0
2428-ZMCTB,1,0,0,0,10,1,0,0,2,2,2,2,2,2,0,0,3,19.75,208.25,0
0298-XACET,1,0,1,1,52,0,2,1,0,1,1,1,1,0,2,0,1,50.2,2554,0
3177-LASXD,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,71.35,71.35,1
4283-FUTGF,1,1,0,0,19,1,1,2,0,0,1,0,0,0,0,1,0,79.85,1471.75,1
4919-IKATY,1,0,1,1,5,1,1,2,1,0,1,0,0,0,0,1,0,84.5,453.75,1
7065-YUNRY,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,45.3,45.3,1
2107-FBPTK,0,1,0,0,30,1,1,2,0,1,1,0,1,1,0,1,0,104.1,3121.1,0
5146-YYFRZ,1,0,0,0,67,1,0,0,2,2,2,2,2,2,2,0,2,19.95,1311.75,0
6784-XYJAE,0,0,0,0,36,1,1,1,0,0,1,0,0,0,1,0,0,55.8,1941.5,0
9057-MSWCO,1,1,1,0,27,0,2,1,1,0,0,0,0,0,0,0,3,30.75,805.1,1
9033-EOXWV,0,0,0,0,12,1,1,1,0,0,0,1,1,1,1,0,1,74.05,872.65,1
0562-FGDCR,0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,1,74.55,5430.65,0
5570-PTWEH,0,0,1,0,3,1,1,2,0,0,0,0,0,0,0,1,3,75.15,216.75,1
9720-JJJOR,1,0,1,1,41,1,0,1,1,1,1,0,0,0,1,1,2,60.3,2511.3,0
1010-DIAUQ,1,0,0,0,5,1,0,2,0,0,1,0,1,1,0,0,2,96.5,492.55,1
8634-CILSZ,1,0,0,0,69,1,1,2,0,1,0,1,1,1,1,1,2,104.7,7220.35,1
6710-HSJRD,1,0,1,0,61,1,1,2,0,1,1,1,1,1,0,1,0,114.1,7132.15,0
1810-MVMAI,1,0,1,1,30,1,1,1,1,1,1,1,0,0,0,0,0,67.6,2000.2,0
5338-YHWYT,1,0,0,1,37,1,0,1,1,1,0,1,0,0,2,0,3,61.45,2302.35,0
7567-ECMCM,1,0,0,0,24,1,0,2,0,0,0,0,0,1,0,1,3,79.85,2001,0
1618-CFHME,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,75.9,143.35,1
6646-JPPHA,0,1,0,0,14,1,0,2,1,1,0,0,0,0,0,0,0,78.85,1043.8,0
0979-PHULV,1,0,1,1,69,1,1,2,0,0,1,0,1,1,0,1,3,99.45,7007.6,1
4895-TMWIR,1,1,1,0,11,1,0,0,2,2,2,2,2,2,0,0,1,19.95,214.75,1
4704-ERYFC,0,0,1,0,22,1,0,2,0,0,0,0,0,0,0,1,0,69.25,1554,1
8338-QIUNR,1,0,1,1,72,1,1,1,1,0,1,1,0,0,2,1,3,66.5,4811.6,0
0864-FVJNJ,0,0,1,1,64,1,1,2,1,1,1,1,1,1,1,0,0,113.35,7222.75,0
7563-BIUPC,1,0,0,0,5,1,0,2,0,0,0,0,1,0,0,1,0,80.6,415.55,1
0816-TSPHQ,1,0,0,0,2,1,0,0,2,2,2,2,2,2,0,0,1,20.75,44.2,0
1821-BUCWY,1,0,0,0,30,1,0,1,1,0,1,0,0,0,2,1,1,55.65,1653.85,0
4598-ZADCK,0,0,0,0,53,0,2,1,1,1,1,1,1,0,1,1,0,53.6,2879.2,0
6896-SRVYQ,1,1,0,0,44,1,0,2,0,0,1,0,0,0,0,0,0,73.85,3122.4,0
5919-TMRGD,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,0,79.35,79.35,1
6961-VCPMC,1,1,1,0,46,1,0,2,0,0,0,0,0,1,0,1,0,80.4,3605.2,1
7379-POKDZ,1,0,1,0,3,1,0,2,0,0,0,0,0,0,0,1,0,70.3,208.85,1
4566-NECEV,1,0,0,0,5,1,1,2,0,1,1,0,0,1,0,0,0,96.55,500.1,0
2403-BCASL,1,1,1,1,41,1,1,2,0,1,1,1,1,1,1,1,0,111.95,4534.9,1
7159-NOKYQ,1,0,1,0,67,1,1,2,0,1,1,0,0,1,2,1,0,93.15,6368.2,0
2189-UXTKY,0,0,1,0,22,1,1,1,1,0,0,1,1,1,0,1,0,79.2,1742.75,1
3276-HDUEG,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,75.05,75.05,1
6469-MRVET,1,0,1,1,1,1,0,0,2,2,2,2,2,2,1,1,0,20.2,20.2,0
6416-YJTTB,1,0,0,0,11,1,0,2,1,0,1,0,0,0,0,1,2,79.5,795.65,0
4597-NUCQV,1,1,0,0,24,1,1,2,0,1,0,0,1,1,0,1,0,101.25,2440.15,1
0106-UGRDO,0,0,1,0,69,1,1,2,1,1,1,1,1,1,2,1,0,116.0,8182.85,0
1991-VOPLL,0,0,0,0,9,1,0,0,2,2,2,2,2,2,0,0,1,19.05,157.65,0
